Dutch,English
winnen,to win
lachen,to laugh
nu,now
vanaf,from\since
maar,but
jullie,you
zuid,south
laat,late\leave
praten,to talk
maken,to make
wassen,to wash
soms,sometimes
voor,before
behalve,except
zij,they
west,west
vrij,free
zeggen,to say
gedragen,to behave
ook,"also, too"
de fiets,the bike
ze,they
groot,big
heel,"whole, very"
denken,to think
haten,to hate
meer,more
om,at
daarna,there after
u,you
klein,small
echt,real
werken,to work
in verwachting,expecting (a baby)
delen,to share
minder,less
daarover,about that
richting,Direction
lekker,tasty
vol,full
wachten,to wait
zwanger,pregnant
verder,further
daarvan,thereof
richts,directional
vies,"dirty, disgusting"
leeg,empty
bedoelen,to mean
terug,back
speciaal,special
ik begrijp het niet,I don't understand
bewegen,to move
zoeken,to search
mooi,beautiful
duidelijk,clear
dromen,to dream
uitnodigen,to invite
zullen,will
de tulp,the tulip
onduidelijk,unclear
genieten,to enjoy
bijten,to bite
lelijk,ugly
beschikbaar,available
huilen,to cry
noemen,to call
interessant,interesting
waarschijnlijk,probable
ontdekken,to discover
lopen,to walk
saai,boring
ontwikkelen,to develop
arm,poor
huidig,current
ontwerpen,To design
rijk,rich
verkeerd,wrong
vergelijken,to compare
donker,dark
juist,correct
verliezen,to lose
klaar,ready
vertrekken,to leave
vertrouwen,to trust
verwachten,to expect
vergissen,to be mistaken
verschilen,differences
verschillend,different
immigreren,to immigrate
het beest,"the animal, the beast"
de hond,the dog
de kleur,the colour
het gereedschap,the tools
vers,fresh
de maaltijd,the meal
het humeur,the mood
de gezondheid,the health
het weer,the weather
de vader,the father
solliciteren,to apply for
de kleren,the clothes
het lichaam,the body
de woning,the house
vrije tijd,leisure time
de straat,the street
eten & drinken,food & drinks
zijn,to be
het feest,the party
emigreren,to emigrate
de voetbal,the football
de schildpad,the turtle
de kat,the cat
rood,red
het instrument,"the tool, the (musical) instrument"
de wortel,the carrot
het ontbijt,the breakfast
de gevoelens,the feelings
het land,the country
gezond,healthy
papa,dad
de sollicitatie,the application
de kleding,the clothing
het lijf,the body
de deur,the door
de gracht,the canal
de hobby,the hobby
de weg,the road
de groente,the vegetables
de leraar,the teacher
vieren,to celebrate
de allochtoon,the immigrant
het voetbal,football (soccer)
de hamster,the hamster
de muis,the mouse
het vierkant,the square
de schaar,the scissors
de boon,the bean
de lunch,the lunch
chagrijnig,grumpy
de provincie,the province
ziek,ill
het weerbericht,the weather forecast
de moeder,the mother
de vacature,the vacancy
de kledingwinkel,the clothes shop
het hoofd,the head
het raam,the window
het grachtenpand,the canal house
reizen,to travel
de snelweg,the highway
het fruit,the fruits
blij,happy
de feestdag,the public holiday
verhuizen,to move
het doel,the goal
de goudvis,the goldfish
het konijn,the rabbit
de cirkel,the circle
knippen,to cut (with scissors)
de erwt,the pea
het middageten,the lunch
moe,tired
de streek,the region
(zich) ziek melden,to report oneself ill
het bericht,the message
mama,mom
de advertentie,the advertisement
de broek,the pants
de kop,the head
de stoel,the chair
de woonboot,the house boat
de vakantie,the holiday
de auto,the car
het brood,the bread
leuk,funny
de vrije dag,the day off
huren,to rent
het doelpunt,the goal
het schaap,the sheep
de haas,the hare
de driehoek,the triangle
snijden,to cut (with a knife)
de spinazie,the spinach
het avondeten,the dinner
teleurgesteld,disappointed
de stad,the city
de griep,the flu
"lekker weer, hè",nice weather isn't it?
de broer,the brother
het werk,the work
de spijkerbroek,the jeans
de mond,the mouth
de kruk,the stool
wonen,to live
kamperen,to camp out
de bus,the bus
de boterham,the slice of bread
mooi,pretty
Koningsdag,King's Day
de makelaar,the real estate agent
het elftal,the football team
de geit,the goat
de boerderij,the farm
groen,green
de machine,the machine
de boerenkool,the kale
koken,to cook
vervelend,annoying
de hoofdstad,the capital
verkouden zijn,to have a cold
zeker,(for) sure
de zus,the sister
de baan,the job
de trui,the sweater
de tand,the tooth
de tafel,the table
het paleis,the palace
het strand,the beach
de trein,the train
de kaas,the cheese
oud,old
Sinterklaas,(Sinterklaas)
het huurcontract,the rental contract
oranje,orange
de vos,the fox
de koe,the cow
volgende,next
de rekenmachine,the calculator
de worst,the sausage
de kok,the cook
vervelen,to annoy
het dorp,the village
de koorts,the fever
mooi weer,nice weather
de opa,the grandfather
veranderen,to change
de jas,the coat
het oor,the ear
de lamp,the lamp
pont,the ferry
zonnen,to sunbathe
de tram,the tram
de hagelslag,sprinkles
jong,young
Zwarte Piet,(Black Pete)
de huur,the rent
oranje,the dutch football team
wild,wild
het paard,the horse
blauw,blue
de computer,the computer
de knoflook,the garlic
het gerecht,the dish
verdrietig,sad
de plaats,the place
de ontsteking,the inflammation
de oma,the grandmother
de brief,the letter
de rok,the skirt
het oog,the eye
de televisie,the television
de rondvaart,the canal cruise
het pretpark,the theme park
de halte,the stopping place
de pindakaas,the peanut butter
de voetballer,the football player
de zak,the bag
gwe,utility bills
de spits,the striker
de mier,the ant
het varken,the pig
het slot,the lock
de sla,the lettuce
honger hebben,to be hungry
boos,angry
de gemeente,the municipality
misselijk,nauseous
de temperatuur,the temperature
de tante,the aunt
de sollicitatiebrief,the application letter
de jurk,the dress
de bril,the glasses
de kast,the closet
het museum,the museum
tuinieren,gardening
de metro,the metro
de melk,the milk
de premier,the prime minister
Kerstmis,Christmas
de VVE-bijdrage,communal costs
de middenvelder,the midfielder
de VVE,bijdrage
de mug,the mosquito
de ezel,the donkey
paars,purple
de sleutel,the key
de komkommer,the cucumber
dorst hebben,to be thirsty
kwaad,furious
het gemeentehuis,the town hall
duizelig,dizzy
de thermometer,the thermometer
de oom,the uncle
het cv (curriculum vitae),the resume
de sok,the sock (short)
de zonnebril,the sunglasses
de wc,the toilet
het concert,the concert
de taal,the language
de boot,the boat
de koffie,the coffee
de student,the student
de kerstboom,the Christmas tree
het adres,the address
de verdediger,the defender
de kikker,the frog
de kip,the chicken
openen,to open
de tomaat,the tomato
de smaak,the taste
depressief,depressive
het platteland,the countryside
de vergiftiging,the poisoning
graden,degrees
de neef,"the cousin, the nephew"
de opleiding,the education
de kous,the sock (long)
de neus,the nose
de keuken,the kitchen
het gebouw,the building
een taal leren,to learn a language
het vliegtuig,the airplane
de thee,the tea
de leerling,the scholar
de kerstman,Santa Claus
de buren,the neighbours
de keeper,the goalkeeper
de slak,the snail
de haan,the cockerel
wit,white
de telefoon,the telephone
de ui,the onion
zoet,sweet
onrustig,restless
de polder,the polder
de pijn,the ache
de graad,the degree
de nicht,"the cousin, the niece"
de ervaring,the experience
de schoen,the shoe
het haar,the hair
het fornuis,the cooker
het concertgebouw,the Concertgebouw
sporten,to exercise
het vliegveld,the airport
de aardappel,the potato
de baas,the boss
Oudjaar,New year's eve
inschrijven,to subscribe
de doelverdediger,the goalkeeper
de eekhoorn,the squirrel
de vogel,the bird
zwart,black
het potlood,the pencil
het ei,the egg
zout,salty
bang,afraid
de vesting,the fortress
zeer,the ache
schijnen,to shine
het kind,the child
het gesprek,"the conversation, the interview"
de klomp,the wooden shoe
de arm,the arm
de koelkast,the fridge
het plein,the square
hardlopen,to run
de haven,the port
de aardappeleter,the potato-eater
de bakker,the baker
de oliebol,Dutch fritter with raisins
het paspoort,the passport
de scheidsrechter,the referee
the potato,eater
de dolfijn,the dolphin
de eend,the duck
de pen,the pen
de soep,the soup
zuur,acid
ongeduldig,impatient
wallen,fortified walls
de behandeling,the treatment
slecht weer,bad weather
het kleinkind,the grandchild
het sollicitatiegesprek,the job interview
de riem,the belt
de elleboog,the elbow
de kamer,the room
het fietspad,the bicycle track
wandelen,to go for a walk
het station,the railway station
het bier,the beer
de slager,the butcher
Nieuwjaar,New year
het legitimatiebewijs,the id
de supporter,the fan
de zeehond,the seal
de zwaan,the swan
grijs,grey
het papier,the paper
de rijst,the rice
bitter,bitter
de wal,the shore
de huisarts,the general practitioner
de neerslag,the precipitation
de vriend,the (boy) friend
het bedrijf,the company
het T-shirt,the T-shirt
de hand,the hand
de woonkamer,the living room
de brug,the bridge
tennissen,to play tennis
het kantoor,the office
de wijn,the wine
de boer,the farmer
Oud en Nieuw,New yr
zich legitimeren,to identify oneself
de twaalfde man,the fans
het T,shirt
the T,shirt
de walvis,the whale
de gans,the goose
bruin,brown
de olie,the oil
de peper,the pepper
pittig,spicy
vrolijk,cheerful
de zee,the sea
de patiënt,the patient
regenen,to rain
de vriendin,the (girl) friend
de zaak,the company
het (onder)hemd,the undershirt
de vinger,the finger
de bank,the couch
het eiland,the island
hockeyen,to play hockey
de winkel,the shop
het water,the water
de visser,the fisherman
Pasen,Easter
het visum,the visa
de eerste helft,the first half
de haai,the shark
de ooievaar,the stork
roze,pink
de benzine,the petrol
het zout,the salt
de geur,the smell
opgewekt,cheerful
het meer,the lake
het spreekuur,the consultation hours
sneeuwen,to snow
de kennis,the acquaintance
het salaris,the salary
het overhemd,the shirt
het been,the leg
de slaapkamer,the sleeping room
de ring,"the ring, the ring road"
borrelen,to have a drink
de supermarkt,the supermarket
het vlees,the meat
de advocaat,the lawyer
de paashaas,the Easter bunny
de identiteitskaart,the identity card
de rust,half time
de dierentuin,the zoo
de mus,the sparrow
plat,flat
de brandstof,the fuel
de suiker,the sugar
de pan,the pan
tevreden,satisfied
het kanaal,the channel
de EHBO,the first aid
hagelen,to hail
de bekende,the acquaintance
bruto,gross
de blouse,"the blouse, the shirt"
de knie,the knee
het bed,the bed
de coffeeshop,drug store
uit eten gaan,to go out for dinner
het ziekenhuis,the hospital
de dokter,the doctor
het paasei,the Easter egg
het rijbewijs,the driving license
de tweede helft,the second half
de aap,the monkey
de duif,the pigeon
dik,"thick, fat"
het goud,the gold
de appel,the apple
het vuur,the fire
ontevreden,dissatisfied
de rivier,the river
de eerste hulp,the first aid
de wind,the wind
de klasgenoot,the classmate
netto,net
het pak,the suit
de voet,the foot
de badkamer,the bathroom
het stadion,the stadium
uitgaan,to go out
de apotheek,the pharmacy
de friet,the French fries
de ober,the waiter
ijsvrij,a day off for skating
de verblijfsvergunning,the residence permit
schoppen,to kick
de olifant,the elephant
de vis,the fish
dun,thin
het zilver,the silver
de peer,the pear
de rook,the smoke
verrast,surprised
de natuur,the nature
spoed,urgent
waaien,to blow
de verkering,the relationship (love)
de belasting,the tax
"het, de colbert",the suit jacket
de teen,the toe
de douche,the shower
het hoofdkantoor,the head office
stappen,to go out (and drink)
het zwembad,the swimming pool
frietje met,French fries
de politieman,the police officer
de werkvergunning,the working permit
het schot,the shot
de beer,the bear
het hert,the deer
breed,wide
het hout,the wood
de banaan,the banana
het bestek,the cutlery
enthousiast,enthusiastic
de dam,the dam
de ambulance,the ambulance
de storm,the storm
verliefd,in love
het vakantiegeld,the vacation bonus
de stropdas,the tie
de rug,the spine
het bad,the bath tub
de wallen,the red light district
dronken zijn,being drunk
de sporthal,the sports hall
de frikandel,sausage
de agent,the police officer
het bezoek,the visit
de inburgering,the assimilation (formal)
de redding,the save
de wolf,the wolf
het insect,the insect
smal,narrow
de plank,the plank
de perzik,the peach
de vork,the fork
ontspannen,relaxed
de dijk,the dike
de afspraak,the appointment
het onweer,the thunderstorm
verloofd,to be engaged
de auto van de zaak,the company car
de strik,the bow
de buik,"the belly, the stomach"
de bijkeuken,the scullery
de hoer,the prostitute
het politiebureau,the police station
de kroket,crocket
de kapper,the hairdresser
het bezoek,the visitors
integreren,to integrate (in practice)
redden,to save
de giraffe,the giraffe
de vlieg,the fly
beide,both
de lucht,the air
de abrikoos,the apricot
het mes,the knife
romantisch,romantic
de duin,the dune
de verwijsbrief,the referral letter
de bliksem,the lightning
het pensioen,the pension
de pyjama,the pyjamas
de schouder,the shoulder
de garage,the garage
het park,the park
kunst,art
de bibliotheek,the library
de pannenkoek,the pancake
de directeur,the (company)
het n2-examen,the exam for Dutch as a second language
de voorzet,the assist
het n2,examen
de slang,the snake
de bij,the bee
het gezicht,the face
het ijzer,the iron
de sinaasappel,the orange
de lepel,the spoon
vriendelijk,friendly
de tunnel,the tunnel
verwijzen,to refer
de donder,the thunder
scheiden,to divorce
de reiskosten,the travel expenses
de onderbroek,the undershorts
de kont,the ass
de tuin,the garden
het bos,the forest
verjaardag,the birthday
de school,the school
de stroopwafel,the syrup waffle
de boekhouder,the accountant
de geboorte,the birth
de naturalisatie,the naturalisation
de gele kaart,the yellow card
de krokodil,the crocodile
de vlinder,the butterfly
elk,each
het staal,the steel
de mandarijn,the mandarin
het bord,the plate
aardig,friendly
de berg,the mountain
het onderzoek,the check-up
de wolk,the cloud
gescheiden zijn,to be divorced
de vergoeding,the compensation
de bh,the bra
de borst,"the chest, the breast"
de zolder,the attic
een verjaardag vieren,birthday cele
de universiteit,the university
drop,liquorice
de verkoper,the salesman
de bruiloft,the wedding
heimwee,homesick
de rode kaart,the red card
the check,up
de kameel,the camel
de spin,the spider
gelijk,equal
de steen,the stone
de citroen,the lemon
het glas,the glass
sympathiek,sympathetic
de heuvel,the hill
de tandarts,the dentist
bewolkt,cloudy
de reiskostenvergoeding,the compensation for travel expenses
de hoed,the hat
de baard,the beard
hij is jarig,it's his birthday
"de, het snoep",the sweets
de vertegenwoordiger,the representative
de verjaardag,the birthday
de vrije trap,the free kick
de tijger,the tiger
zelfde,same
het stof,the dust
de pruim,the plum
het kopje,the cup
zielig,pathetic
de hei,the moor
de verzekering,the insurance
vriezen,to freeze
de collega,the colleague
de das,the scarf
de snor,the moustache
de taart,the pie
de strafschop,the penalty
de leeuw,the lion
recht,straight
de stof,the material
de meloen,the melon
de fles,the bottle
serieus,serious
de ziektekostenverzekering,the health insurance
het ijs,the ice
aannemen,to hire
het hart,the heart
dansen,to dance
de kaars,the candle
de hoekschop,the corner kick
het dier,the animal
makkelijk,easy
de aarde,the earth
de framboos,the raspberry
smakelijk eten,enjoy your meal
het medicijn,the medication
ontslaan,to fire
winkelen,to go shopping
verrassen,to surprise
buitenspel,offside
het huisdier,the pet
moeilijk,difficult
de bes,the berry
eet smakelijk,enjoy your meal
het recept,the prescription
het cadeau,the present
de kampioen,the champion
de kers,the cherry
het ek,the european championship
de aardbei,the strawberry
het europees kampioenschap,the european championship
het wk,the world cup
het wereldkampioenschap,the world cup
de les,the lesson
laatst,last
het woord,the word
hoe laat?,what time?
ik,I
welkom,welcome
veilig,safe
hoe laat is het?,what time is it?
ik heet,my name is
de dagen van de week,the days of the week
thuis,home
gevaarlijk,dangerous
de klok,the clock
ik ben,I am
welke dag (van de week)?,which day of the week
het gras,the grass
het leger,the army
het uur,the hour
een,a
maandag,Monday
de boom,the tree
de oefening,the exercise
twee uur,two o'clock
de,the
dinsdag,Tuesday
de oorlog,the war
om tien uur,at ten o'clock
het,the
woensdag,Wednesday
mijn,my
de aanval,the attack
half vier,half past three
de man,the man
donderdag,Thursday
jouw / je,your
het bloed,the blood
half een,half past twelve
de vrouw,the woman
vrijdag,Friday
haar,her
dood,dead
het kwartier,the quarter
de jongen,the boy
zijn,his
het nieuws,the news
kwart over drie,quarter past three
het meisje,the girl
zondag,Sunday
ons / onze,our
de krant,the newspaper
kwart voor zeven,quarter to seven
het huis,the house
de maand,the month
jullie / uw,your
de vlag,the flag
de minuut,the minute
hallo,hello
de maan,the moon
uw,your
toekomst,the future
tien over zes,ten past six
hoi,hi
januari,January
hun,their
het einde,the end
vijf voor acht,five to eight
goed,good
februari,February
geen,no / none
maan,the moon
vijf voor half zeven,twenty five past six
slecht,bad
maart,march
gewoon,usual
ster,the star
vijf over half vier,twenty five to four
morgen,morning
april,April
als,if
de schaduw,the shadow / shade
twintig voor vijf,twenty to five
mei,may
het verschil,the difference
moeten,must / have to / should
hoe lang?,how long?
goedemorgen,good morning
de leeftijd,the age
zetten,to put
het duurt drie uur,it takes three hours
juli,July
iemand,somebody
draaien,to turn
van twee uur tot vijf uur,from two till five o'clock
goedenavond,good evening
augustus,august
iedereen,everybody
kosten,to cost
de nacht,the night
september,September
ruiken,to smell
‘s nachts,at night
goedendag,good day !
oktober,October
dichtbij,nearby
leiden,to lead
"de ochtend, de morgen",the morning
tot ziens,see you
november,November
vaak,often
dak,the roof
‘s ochtends / ‘s morgens,in the morning
tot,until
december,December
de grap,the joke
heet,hot
de middag,the afternoon
doei,bye
winter,winter
het idee,the idea
de markt,the market
‘s middags,in the afternoon
lente,spring
het geluid,the sound
het geld,the money
de avond,the evening
zomer,summer
de muziek,the music
geluk,the happiness
‘s avonds,in the evening
herfst,autumn
het nummer,the number / the song
kwart voor zeven ‘s ochtends,quarter to seven am
de naam,the name
middernacht,midnight
het boek,the book
twaalf uur ‘s middags,noon
namelijk,namely
Uitdoet,Off
Zoen\kus,kiss
Heel,very
daarvan,of them
Gelukkig,luckily
gekocht,purchased
Veel,a lot of
afschied,farewell
straks,soon
Ongeveer,about age
plek\plat,place
Getrouwd,married
Varken,pig
dienst,service\employee
Buren,neighbour
vertrekken,depart\leave
leeftid,age
reken,count
Vangen,catch
gezocht,wanted
Opeten,eat
bekendeste,most famous
Allebei,both
zorg,care\concern
Schreeuw,scream
Pakt,takes\grab
verplicht,required\mandatory
omgaan,to deal with
toch,however
Rustig,quite
Strijken,iron
bestaat,consist
bewaart,saves
kistje,box
pakken,to take
beeld,image\picture
alle,all
liever,rather
inschrijf,subscribe\enrol
beschrijf,describe
helemaal,absolutely
afmelden,sign-out
elkaar,each other
sign,out
uitnodigen,invite
nog,yet
melden,report
nergens,nowhere
duurt,takes
verboden,forbidden
Vroeger,earlier
verhuizen,to move house
geleden,past
weer,weather\again
stuur,send
weinig,few
Daardoor,therefore
eigenlijk,actually
Vooral,mainly
schijnt,appear
Zoals,as
Zoal,like
Zich,himself
berg,mountain
de directeur,the (company) director
de hagelslag,the chocolate sprinkles
frietje met,French fries with mayonnaise
de frikadel,Dutch meat sausage
de kroket,Dutch fried ragout bar
de bloem,the flower
nul,zero
een,one
twee,two
drie,three
vier,four
vijf,five
zes,six
zeven,seven
acht,eight
negen,nine
tien,ten
elf,eleven
twaalf,twelve
dertien,thirteen
veertien,fourteen
vijftien,fifteen
twintig,twenty
eenentwintig,twenty one
dertig,thirty
veertig,forty
vijftig,fifty
honderd,hundred
tweehonderd,two hundred
duizend,thousand
miljoen,million
krijgen,to get
's nachts,at night
's ochtends / 's morgens,in the morning
's middags,in the afternoon
's avonds,in the evening
kwart voor zeven 's ochtends,quarter to seven am
twaalf uur 's middags,noon
een verjaardag vieren,to celebrate a birthday
de coffeeshop,bar where soft drugs is sold
het dier,clear
"het ek, het europees kampioenschap",the european championship
"het wk, het wereldkampioenschap",the world cup
vinden,"to find, to think (have an opinion)"
wat voor weer wordt het?,what will be the weather?
het nt2-examen,the exam for Dutch as a 2nd language
Oud en Nieuw,New year's eve and New year's day
