Dutch,English,Lesson
hoeveel,how much,Lesson 5
de bloem,the flower,Lesson 5
waarom,why,Lesson 5
daarom,that's why,Lesson 5
want,because,Lesson 5
omdat,because,Lesson 5
maar,but,Lesson 5
behalve,except,Lesson 5
de fiets,the bike,Lesson 5
de straat,the street,Lesson 6
de weg,the road,Lesson 6
de snelweg,the highway,Lesson 6
de auto,the car,Lesson 6
de bus,the bus,Lesson 6
de trein,the train,Lesson 6
de tram,the tram,Lesson 6
de halte,the stopping place,Lesson 6
de metro,the metro,Lesson 6
de boot,the boat,Lesson 6
het vliegtuig,the airplane,Lesson 6
het vliegveld,the airport,Lesson 6
de haven,the port,Lesson 6
het station,the railway station,Lesson 6
het kantoor,the office,Lesson 6
de winkel,the shop,Lesson 6
de supermarkt,the supermarket,Lesson 6
het ziekenhuis,the hospital,Lesson 6
de apotheek,the pharmacy,Lesson 6
het zwembad,the swimming pool,Lesson 6
de sporthal,the sports hall,Lesson 6
het politiebureau,the police station,Lesson 6
de bibliotheek,the library,Lesson 6
de school,the school,Lesson 6
de universiteit,the university,Lesson 6
nul,zero,Lesson 7
een,one,Lesson 7
twee,two,Lesson 7
drie,three,Lesson 7
vier,four,Lesson 7
vijf,five,Lesson 7
zes,six,Lesson 7
zeven,seven,Lesson 7
acht,eight,Lesson 7
negen,nine,Lesson 7
tien,ten,Lesson 7
elf,eleven,Lesson 7
twaalf,twelve,Lesson 7
dertien,thirteen,Lesson 7
veertien,fourteen,Lesson 7
vijftien,fifteen,Lesson 7
twintig,twenty,Lesson 7
eenentwintig,twenty one,Lesson 7
dertig,thirty,Lesson 7
veertig,forty,Lesson 7
vijftig,fifty,Lesson 7
honderd,hundred,Lesson 7
tweehonderd,two hundred,Lesson 7
duizend,thousand,Lesson 7
miljoen,million,Lesson 7
lopen,to walk,Lesson 8
hebben,to have,Lesson 8
worden,to become,Lesson 8
gaan,to go,Lesson 8
vragen,to ask,Lesson 8
antwoorden,to answer,Lesson 8
kopen,to buy,Lesson 8
krijgen,to get,Lesson 8
eten,to eat,Lesson 8
drinken,to drink,Lesson 8
rijden,to drive,Lesson 8
vergeten,to forget,Lesson 8
horen,to hear,Lesson 8
luisteren,to listen,Lesson 8
zien,to see,Lesson 8
kijken,to look,Lesson 8
weten,to know,Lesson 8
leren,to learn,Lesson 8
slapen,to sleep,Lesson 8
lezen,to read,Lesson 8
schrijven,to write,Lesson 8
spreken,to speak,Lesson 8
zeggen,to say,Lesson 8
denken,to think,Lesson 8
werken,to work,Lesson 8
wachten,to wait,Lesson 8
groot,big,Lesson 9
klein,small,Lesson 9
lekker,tasty,Lesson 9
vies,"dirty, disgusting",Lesson 9
schoon,clean,Lesson 9
mooi,beautiful,Lesson 9
de tulp,the tulip,Lesson 9
lelijk,ugly,Lesson 9
interessant,interesting,Lesson 9
saai,boring,Lesson 9
arm,poor,Lesson 9
rijk,rich,Lesson 9
donker,dark,Lesson 9
licht,light,Lesson 9
zwaar,heavy,Lesson 9
hard,"hard, fast",Lesson 9
zacht,"soft, slow",Lesson 9
snel,fast,Lesson 9
lief,"lovely, sweet",Lesson 9
stout,naughty,Lesson 9
koud,cold,Lesson 9
warm,warm,Lesson 9
duur,expensive,Lesson 9
goedkoop,cheap,Lesson 9
hoog,"high, tall",Lesson 9
laag,low,Lesson 9
week,week,Lesson 10
de dagen van de week,the days of the week,Lesson 10
welke dag (van de week)?,which day of the week,Lesson 10
maandag,Monday,Lesson 10
dinsdag,Tuesday,Lesson 10
woensdag,Wednesday,Lesson 10
donderdag,Thursday,Lesson 10
vrijdag,Friday,Lesson 10
zaterdag,Saturday,Lesson 10
zondag,Sunday,Lesson 10
de maand,the month,Lesson 10
de maan,the moon,Lesson 10
januari,January,Lesson 10
februari,February,Lesson 10
maart,march,Lesson 10
april,April,Lesson 10
mei,may,Lesson 10
juni,June,Lesson 10
juli,July,Lesson 10
augustus,august,Lesson 10
september,September,Lesson 10
oktober,October,Lesson 10
november,November,Lesson 10
december,December,Lesson 10
winter,winter,Lesson 10
lente,spring,Lesson 10
zomer,summer,Lesson 10
herfst,autumn,Lesson 10
met,with,Lesson 11
van,from,Lesson 11
naar,to,Lesson 11
in,in,Lesson 11
voor,in front of,Lesson 11
achter,behind,Lesson 11
naast,next to,Lesson 11
beneden,"down, downstairs",Lesson 11
boven,"above, up, upstairs",Lesson 11
onder,below,Lesson 11
op,"at, on top",Lesson 11
tussen,between,Lesson 11
het midden,the middle,Lesson 11
over,about,Lesson 11
over,over,Lesson 11
bij,"at, near",Lesson 11
binnen,inside,Lesson 11
buiten,outside,Lesson 11
tegen,against,Lesson 11
rond,around,Lesson 11
sinds,since,Lesson 11
zonder,without,Lesson 11
voor,before,Lesson 11
na,after,Lesson 11
om,at,Lesson 11
hoe laat?,what time?,Lesson 12
hoe laat is het?,what time is it?,Lesson 12
de klok,the clock,Lesson 12
het uur,the hour,Lesson 12
twee uur,two o'clock,Lesson 12
om tien uur,at ten o'clock,Lesson 12
half vier,half past three,Lesson 12
half een,half past twelve,Lesson 12
het kwartier,the quarter,Lesson 12
kwart over drie,quarter past three,Lesson 12
kwart voor zeven,quarter to seven,Lesson 12
de minuut,the minute,Lesson 12
tien over zes,ten past six,Lesson 12
vijf voor acht,five to eight,Lesson 12
vijf voor half zeven,twenty five past six,Lesson 12
vijf over half vier,twenty five to four,Lesson 12
twintig voor vijf,twenty to five,Lesson 12
hoe lang?,how long?,Lesson 12
het duurt drie uur,it takes three hours,Lesson 12
van twee uur tot vijf uur,from two till five o'clock,Lesson 12
de nacht,the night,Lesson 12
's nachts,at night,Lesson 12
"de ochtend, de morgen",the morning,Lesson 12
's ochtends / 's morgens,in the morning,Lesson 12
de middag,the afternoon,Lesson 12
's middags,in the afternoon,Lesson 12
de avond,the evening,Lesson 12
's avonds,in the evening,Lesson 12
kwart voor zeven 's ochtends,quarter to seven am,Lesson 12
middernacht,midnight,Lesson 12
twaalf uur 's middags,noon,Lesson 12
vrije tijd,leisure time,Lesson 13
de hobby,the hobby,Lesson 13
reizen,to travel,Lesson 13
de vakantie,the holiday,Lesson 13
kamperen,to camp out,Lesson 13
het strand,the beach,Lesson 13
zonnen,to sunbathe,Lesson 13
het pretpark,the theme park,Lesson 13
tuinieren,gardening,Lesson 13
de taal,the language,Lesson 13
een taal leren,to learn a language,Lesson 13
sporten,to exercise,Lesson 13
hardlopen,to run,Lesson 13
wandelen,to go for a walk,Lesson 13
tennissen,to play tennis,Lesson 13
hockeyen,to play hockey,Lesson 13
borrelen,to have a drink,Lesson 13
uit eten gaan,to go out for dinner,Lesson 13
uitgaan,to go out,Lesson 13
stappen,to go out (and drink),Lesson 13
dronken zijn,being drunk,Lesson 13
koken,to cook,Lesson 13
kunst,art,Lesson 13
verjaardag,the birthday,Lesson 13
een verjaardag vieren,to celebrate a birthday,Lesson 13
hij is jarig,it's his birthday,Lesson 13
zingen,to sing,Lesson 13
dansen,to dance,Lesson 13
winkelen,to go shopping,Lesson 13
Amsterdam,Amsterdam,Lesson 14
de gracht,the canal,Lesson 14
het grachtenpand,the canal house,Lesson 14
de woonboot,the house boat,Lesson 14
wonen,to live,Lesson 14
het paleis,the palace,Lesson 14
pont,the ferry,Lesson 14
de rondvaart,the canal cruise,Lesson 14
het museum,the museum,Lesson 14
het concert,the concert,Lesson 14
het gebouw,the building,Lesson 14
het concertgebouw,the Concertgebouw,Lesson 14
het plein,the square,Lesson 14
het fietspad,the bicycle track,Lesson 14
de brug,the bridge,Lesson 14
het eiland,the island,Lesson 14
de ring,"the ring, the ring road",Lesson 14
de coffeeshop,bar where soft drugs is sold,Lesson 14
het stadion,the stadium,Lesson 14
het hoofdkantoor,the head office,Lesson 14
de wallen,the red light district,Lesson 14
de hoer,the prostitute,Lesson 14
het park,the park,Lesson 14
het bos,the forest,Lesson 14
de woning,the house,Lesson 15
de deur,the door,Lesson 15
het raam,the window,Lesson 15
de stoel,the chair,Lesson 15
de kruk,the stool,Lesson 15
de tafel,the table,Lesson 15
de lamp,the lamp,Lesson 15
de televisie,the television,Lesson 15
de kast,the closet,Lesson 15
de wc,the toilet,Lesson 15
de keuken,the kitchen,Lesson 15
het fornuis,the cooker,Lesson 15
de koelkast,the fridge,Lesson 15
de kamer,the room,Lesson 15
de woonkamer,the living room,Lesson 15
de bank,the couch,Lesson 15
de slaapkamer,the sleeping room,Lesson 15
het bed,the bed,Lesson 15
de badkamer,the bathroom,Lesson 15
de douche,the shower,Lesson 15
het bad,the bath tub,Lesson 15
de bijkeuken,the scullery,Lesson 15
de garage,the garage,Lesson 15
de tuin,the garden,Lesson 15
de zolder,the attic,Lesson 15
het lichaam,the body,Lesson 16
het lijf,the body,Lesson 16
het hoofd,the head,Lesson 16
de kop,the head,Lesson 16
de mond,the mouth,Lesson 16
de tand,the tooth,Lesson 16
het oor,the ear,Lesson 16
het oog,the eye,Lesson 16
de bril,the glasses,Lesson 16
de zonnebril,the sunglasses,Lesson 16
de neus,the nose,Lesson 16
het haar,the hair,Lesson 16
de arm,the arm,Lesson 16
de elleboog,the elbow,Lesson 16
de hand,the hand,Lesson 16
de vinger,the finger,Lesson 16
het been,the leg,Lesson 16
de knie,the knee,Lesson 16
de voet,the foot,Lesson 16
de teen,the toe,Lesson 16
de rug,the spine,Lesson 16
de buik,"the belly, the stomach",Lesson 16
de schouder,the shoulder,Lesson 16
de kont,the ass,Lesson 16
de borst,"the chest, the breast",Lesson 16
de baard,the beard,Lesson 16
de snor,the moustache,Lesson 16
het hart,the heart,Lesson 16
de kleren,the clothes,Lesson 17
de kleding,the clothing,Lesson 17
de kledingwinkel,the clothes shop,Lesson 17
de broek,the pants,Lesson 17
de spijkerbroek,the jeans,Lesson 17
de trui,the sweater,Lesson 17
de jas,the coat,Lesson 17
de rok,the skirt,Lesson 17
de jurk,the dress,Lesson 17
de sok,the sock (short),Lesson 17
de kous,the sock (long),Lesson 17
de schoen,the shoe,Lesson 17
de klomp,the wooden shoe,Lesson 17
de riem,the belt,Lesson 17
het T-shirt,the T-shirt,Lesson 17
het (onder)hemd,the undershirt,Lesson 17
het overhemd,the shirt,Lesson 17
de blouse,"the blouse, the shirt",Lesson 17
het pak,the suit,Lesson 17
"het, de colbert",the suit jacket,Lesson 17
de stropdas,the tie,Lesson 17
de strik,the bow,Lesson 17
de pyjama,the pyjamas,Lesson 17
de onderbroek,the undershorts,Lesson 17
de bh,the bra,Lesson 17
de hoed,the hat,Lesson 17
de das,the scarf,Lesson 17
doen,to do,Lesson 18
beginnen,to begin,Lesson 18
geloven,to believe,Lesson 18
brengen,to bring,Lesson 18
halen,to pick up,Lesson 18
lenen,to borrow,Lesson 18
bellen,to call,Lesson 18
kunnen,to can,Lesson 18
sluiten,to close,Lesson 18
snijden,to cut,Lesson 18
beslissen,to decide,Lesson 18
vallen,to fall,Lesson 18
voelen,"to feel, to touch",Lesson 18
volgen,to follow,Lesson 18
gebeuren,to happen,Lesson 18
iets,something,Lesson 18
helpen,to help,Lesson 18
houden,"to hold, to keep",Lesson 18
houden van,to love,Lesson 18
kennen,to know,Lesson 18
leuk vinden,to like,Lesson 18
laten,to leave,Lesson 18
verliezen,to lose,Lesson 18
winnen,to win,Lesson 18
maken,to make,Lesson 18
solliciteren,to apply for,Lesson 19
de sollicitatie,the application,Lesson 19
de vacature,the vacancy,Lesson 19
de advertentie,the advertisement,Lesson 19
het werk,the work,Lesson 19
de baan,the job,Lesson 19
veranderen,to change,Lesson 19
de brief,the letter,Lesson 19
de sollicitatiebrief,the application letter,Lesson 19
het cv (curriculum vitae),the resume,Lesson 19
de opleiding,the education,Lesson 19
de ervaring,the experience,Lesson 19
het gesprek,"the conversation, the interview",Lesson 19
het sollicitatiegesprek,the job interview,Lesson 19
het bedrijf,the company,Lesson 19
de zaak,the company,Lesson 19
het salaris,the salary,Lesson 19
bruto,gross,Lesson 19
netto,net,Lesson 19
de belasting,the tax,Lesson 19
het vakantiegeld,the vacation bonus,Lesson 19
de auto van de zaak,the company car,Lesson 19
het pensioen,the pension,Lesson 19
de reiskosten,the travel expenses,Lesson 19
de vergoeding,the compensation,Lesson 19
de reiskostenvergoeding,the compensation for travel expenses,Lesson 19
de collega,the colleague,Lesson 19
aannemen,to hire,Lesson 19
ontslaan,to fire,Lesson 19
de vader,the father,Lesson 20
papa,dad,Lesson 20
de moeder,the mother,Lesson 20
mama,mom,Lesson 20
de broer,the brother,Lesson 20
de zus,the sister,Lesson 20
de opa,the grandfather,Lesson 20
de oma,the grandmother,Lesson 20
de tante,the aunt,Lesson 20
de oom,the uncle,Lesson 20
de neef,"the cousin, the nephew",Lesson 20
de nicht,"the cousin, the niece",Lesson 20
het kind,the child,Lesson 20
het kleinkind,the grandchild,Lesson 20
de vriend,the (boy) friend,Lesson 20
de vriendin,the (girl) friend,Lesson 20
de kennis,the acquaintance,Lesson 20
de bekende,the acquaintance,Lesson 20
de klasgenoot,the classmate,Lesson 20
de verkering,the relationship (love),Lesson 20
verliefd,in love,Lesson 20
verloofd,to be engaged,Lesson 20
trouwen,to marry,Lesson 20
scheiden,to divorce,Lesson 20
gescheiden zijn,to be divorced,Lesson 20
het dier,clear,Lesson 21
het huisdier,the pet,Lesson 21
de hond,the dog,Lesson 21
de kat,the cat,Lesson 21
de muis,the mouse,Lesson 21
het konijn,the rabbit,Lesson 21
de haas,the hare,Lesson 21
de boerderij,the farm,Lesson 21
de koe,the cow,Lesson 21
het paard,the horse,Lesson 21
het varken,the pig,Lesson 21
de ezel,the donkey,Lesson 21
de haan,the cockerel,Lesson 21
de vogel,the bird,Lesson 21
de eend,the duck,Lesson 21
de zwaan,the swan,Lesson 21
de gans,the goose,Lesson 21
de ooievaar,the stork,Lesson 21
de mus,the sparrow,Lesson 21
de duif,the pigeon,Lesson 21
de vis,the fish,Lesson 21
het hert,the deer,Lesson 21
het insect,the insect,Lesson 21
de vlieg,the fly,Lesson 21
de bij,the bee,Lesson 21
de vlinder,the butterfly,Lesson 21
de spin,the spider,Lesson 21
de voetbal,the football,Lesson 22
het voetbal,football (soccer),Lesson 22
het doel,the goal,Lesson 22
het doelpunt,the goal,Lesson 22
het elftal,the football team,Lesson 22
oranje,orange,Lesson 22
oranje,the dutch football team,Lesson 22
de spits,the striker,Lesson 22
de middenvelder,the midfielder,Lesson 22
de verdediger,the defender,Lesson 22
de keeper,the goalkeeper,Lesson 22
de doelverdediger,the goalkeeper,Lesson 22
de scheidsrechter,the referee,Lesson 22
de supporter,the fan,Lesson 22
de twaalfde man,the fans,Lesson 22
de eerste helft,the first half,Lesson 22
de rust,half time,Lesson 22
de tweede helft,the second half,Lesson 22
schoppen,to kick,Lesson 22
het schot,the shot,Lesson 22
de redding,the save,Lesson 22
redden,to save,Lesson 22
de voorzet,the assist,Lesson 22
de gele kaart,the yellow card,Lesson 22
de rode kaart,the red card,Lesson 22
de vrije trap,the free kick,Lesson 22
de strafschop,the penalty,Lesson 22
de hoekschop,the corner kick,Lesson 22
buitenspel,offside,Lesson 22
de kampioen,the champion,Lesson 22
"het ek, het europees kampioenschap",the european championship,Lesson 22
"het wk, het wereldkampioenschap",the world cup,Lesson 22
nodig hebben,to need,Lesson 23
vinden,"to find, to think (have an opinion)",Lesson 23
bedoelen,to mean,Lesson 23
bewegen,to move,Lesson 23
nemen,to take,Lesson 23
komen,to come,Lesson 23
willen,to want,Lesson 23
gebruiken,to use,Lesson 23
geven,to give,Lesson 23
vertellen,to tell,Lesson 23
proberen,to try,Lesson 23
lijken,to seem,Lesson 23
laten zien,to show,Lesson 23
spelen,to play,Lesson 23
zitten,to sit,Lesson 23
staan,to stand,Lesson 23
betalen,to pay,Lesson 23
ontmoeten,to meet,Lesson 23
doorgaan,to continue,Lesson 23
uitgeven,to spend,Lesson 23
groeien,to grow,Lesson 23
aanbieden,to offer,Lesson 23
herinneren,to remember,Lesson 23
overwegen,to consider,Lesson 23
bouwen,to build,Lesson 23
blijven,to stay,Lesson 23
het weer,the weather,Lesson 24
wat voor weer wordt het?,what will be the weather?,Lesson 24
het weerbericht,the weather forecast,Lesson 24
het bericht,the message,Lesson 24
"lekker weer, hè",nice weather isn't it?,Lesson 24
zeker,(for) sure,Lesson 24
mooi weer,nice weather,Lesson 24
vandaag,today,Lesson 24
de temperatuur,the temperature,Lesson 24
de thermometer,the thermometer,Lesson 24
graden,degrees,Lesson 24
de graad,the degree,Lesson 24
schijnen,to shine,Lesson 24
slecht weer,bad weather,Lesson 24
de neerslag,the precipitation,Lesson 24
regenen,to rain,Lesson 24
sneeuwen,to snow,Lesson 24
hagelen,to hail,Lesson 24
de wind,the wind,Lesson 24
waaien,to blow,Lesson 24
de storm,the storm,Lesson 24
het onweer,the thunderstorm,Lesson 24
de bliksem,the lightning,Lesson 24
de donder,the thunder,Lesson 24
de wolk,the cloud,Lesson 24
bewolkt,cloudy,Lesson 24
vriezen,to freeze,Lesson 24
het ijs,the ice,Lesson 24
ander,other,Lesson 25
kort,short,Lesson 25
lang,long,Lesson 25
belangrijk,important,Lesson 25
beter,better,Lesson 25
best,best,Lesson 25
enige,only,Lesson 25
enkel,single,Lesson 25
dubbel,double,Lesson 25
vroeg,early,Lesson 25
laat,late,Lesson 25
vrij,free,Lesson 25
heel,"whole, very",Lesson 25
echt,real,Lesson 25
vol,full,Lesson 25
leeg,empty,Lesson 25
speciaal,special,Lesson 25
duidelijk,clear,Lesson 25
onduidelijk,unclear,Lesson 25
beschikbaar,available,Lesson 25
waarschijnlijk,probable,Lesson 25
mogelijk,possible,Lesson 25
huidig,current,Lesson 25
verkeerd,wrong,Lesson 25
juist,correct,Lesson 25
klaar,ready,Lesson 25
de gezondheid,the health,Lesson 26
gezond,healthy,Lesson 26
ziek,ill,Lesson 26
(zich) ziek melden,to report oneself ill,Lesson 26
de griep,the flu,Lesson 26
verkouden zijn,to have a cold,Lesson 26
de koorts,the fever,Lesson 26
de ontsteking,the inflammation,Lesson 26
misselijk,nauseous,Lesson 26
duizelig,dizzy,Lesson 26
de vergiftiging,the poisoning,Lesson 26
de pijn,the ache,Lesson 26
zeer,the ache,Lesson 26
de behandeling,the treatment,Lesson 26
de huisarts,the general practitioner,Lesson 26
de patiënt,the patient,Lesson 26
het spreekuur,the consultation hours,Lesson 26
de EHBO,the first aid,Lesson 26
de eerste hulp,the first aid,Lesson 26
spoed,urgent,Lesson 26
de ambulance,the ambulance,Lesson 26
de afspraak,the appointment,Lesson 26
de verwijsbrief,the referral letter,Lesson 26
verwijzen,to refer,Lesson 26
het onderzoek,the check-up,Lesson 26
de tandarts,the dentist,Lesson 26
de verzekering,the insurance,Lesson 26
de ziektekostenverzekering,the health insurance,Lesson 26
het medicijn,the medication,Lesson 26
het recept,the prescription,Lesson 26
aardrijkskunde,geography,Lesson 27
het land,the country,Lesson 27
de provincie,the province,Lesson 27
de streek,the region,Lesson 27
de stad,the city,Lesson 27
de hoofdstad,the capital,Lesson 27
het dorp,the village,Lesson 27
de plaats,the place,Lesson 27
de gemeente,the municipality,Lesson 27
het gemeentehuis,the town hall,Lesson 27
het platteland,the countryside,Lesson 27
de polder,the polder,Lesson 27
de vesting,the fortress,Lesson 27
wallen,fortified walls,Lesson 27
de wal,the shore,Lesson 27
de zee,the sea,Lesson 27
het meer,the lake,Lesson 27
het kanaal,the channel,Lesson 27
de rivier,the river,Lesson 27
de natuur,the nature,Lesson 27
de dam,the dam,Lesson 27
de dijk,the dike,Lesson 27
de duin,the dune,Lesson 27
de tunnel,the tunnel,Lesson 27
de berg,the mountain,Lesson 27
de heuvel,the hill,Lesson 27
de hei,the moor,Lesson 27
immigreren,to immigrate,Lesson 28
emigreren,to emigrate,Lesson 28
de allochtoon,the immigrant,Lesson 28
verhuizen,to move,Lesson 28
huren,to rent,Lesson 28
de makelaar,the real estate agent,Lesson 28
het huurcontract,the rental contract,Lesson 28
de huur,the rent,Lesson 28
gwe,utility bills,Lesson 28
de VVE-bijdrage,communal costs,Lesson 28
het adres,the address,Lesson 28
de buren,the neighbours,Lesson 28
inschrijven,to subscribe,Lesson 28
het paspoort,the passport,Lesson 28
het legitimatiebewijs,the id,Lesson 28
zich legitimeren,to identify oneself,Lesson 28
het visum,the visa,Lesson 28
de identiteitskaart,the identity card,Lesson 28
het rijbewijs,the driving license,Lesson 28
de verblijfsvergunning,the residence permit,Lesson 28
de werkvergunning,the working permit,Lesson 28
de inburgering,the assimilation (formal),Lesson 28
integreren,to integrate (in practice),Lesson 28
het nt2-examen,the exam for Dutch as a 2nd language,Lesson 28
de naturalisatie,the naturalisation,Lesson 28
heimwee,homesick,Lesson 28
het humeur,the mood,Lesson 29
de gevoelens,the feelings,Lesson 29
chagrijnig,grumpy,Lesson 29
moe,tired,Lesson 29
teleurgesteld,disappointed,Lesson 29
vervelend,annoying,Lesson 29
vervelen,to annoy,Lesson 29
verdrietig,sad,Lesson 29
boos,angry,Lesson 29
kwaad,furious,Lesson 29
depressief,depressive,Lesson 29
onrustig,restless,Lesson 29
bang,afraid,Lesson 29
ongeduldig,impatient,Lesson 29
vrolijk,cheerful,Lesson 29
opgewekt,cheerful,Lesson 29
tevreden,satisfied,Lesson 29
ontevreden,dissatisfied,Lesson 29
verrast,surprised,Lesson 29
enthousiast,enthusiastic,Lesson 29
ontspannen,relaxed,Lesson 29
romantisch,romantic,Lesson 29
vriendelijk,friendly,Lesson 29
aardig,friendly,Lesson 29
sympathiek,sympathetic,Lesson 29
zielig,pathetic,Lesson 29
serieus,serious,Lesson 29
de maaltijd,the meal,Lesson 30
het ontbijt,the breakfast,Lesson 30
de lunch,the lunch,Lesson 30
het middageten,the lunch,Lesson 30
het avondeten,the dinner,Lesson 30
de kok,the cook,Lesson 30
het gerecht,the dish,Lesson 30
honger hebben,to be hungry,Lesson 30
dorst hebben,to be thirsty,Lesson 30
de smaak,the taste,Lesson 30
zoet,sweet,Lesson 30
zout,salty,Lesson 30
zuur,acid,Lesson 30
bitter,bitter,Lesson 30
pittig,spicy,Lesson 30
de geur,the smell,Lesson 30
de pan,the pan,Lesson 30
het vuur,the fire,Lesson 30
de rook,the smoke,Lesson 30
het bestek,the cutlery,Lesson 30
de vork,the fork,Lesson 30
het mes,the knife,Lesson 30
de lepel,the spoon,Lesson 30
het bord,the plate,Lesson 30
het glas,the glass,Lesson 30
het kopje,the cup,Lesson 30
de fles,the bottle,Lesson 30
smakelijk eten,enjoy your meal,Lesson 30
eet smakelijk,enjoy your meal,Lesson 30
vers,fresh,Lesson 31
de wortel,the carrot,Lesson 31
de boon,the bean,Lesson 31
de erwt,the pea,Lesson 31
de spinazie,the spinach,Lesson 31
de boerenkool,the kale,Lesson 31
de worst,the sausage,Lesson 31
de knoflook,the garlic,Lesson 31
de sla,the lettuce,Lesson 31
de komkommer,the cucumber,Lesson 31
de tomaat,the tomato,Lesson 31
de ui,the onion,Lesson 31
het ei,the egg,Lesson 31
de soep,the soup,Lesson 31
de rijst,the rice,Lesson 31
de peper,the pepper,Lesson 31
het zout,the salt,Lesson 31
de suiker,the sugar,Lesson 31
de appel,the apple,Lesson 31
de peer,the pear,Lesson 31
de banaan,the banana,Lesson 31
de perzik,the peach,Lesson 31
de abrikoos,the apricot,Lesson 31
de sinaasappel,the orange,Lesson 31
de mandarijn,the mandarin,Lesson 31
de citroen,the lemon,Lesson 31
de pruim,the plum,Lesson 31
de meloen,the melon,Lesson 31
de framboos,the raspberry,Lesson 31
de bes,the berry,Lesson 31
de kers,the cherry,Lesson 31
de aardbei,the strawberry,Lesson 31
lachen,to laugh,Lesson 32
wassen,to wash,Lesson 32
gedragen,to behave,Lesson 32
haten,to hate,Lesson 32
delen,to share,Lesson 32
kiezen,to choose,Lesson 32
begrijpen,to understand,Lesson 32
ik begrijp het niet,I don't understand,Lesson 32
dromen,to dream,Lesson 32
genieten,to enjoy,Lesson 32
huilen,to cry,Lesson 32
ontdekken,to discover,Lesson 32
ontwikkelen,to develop,Lesson 32
praten,to talk,Lesson 32
vergelijken,to compare,Lesson 32
vergissen,to be mistaken,Lesson 32
verkopen,to sell,Lesson 32
vertrekken,to leave,Lesson 32
vertrouwen,to trust,Lesson 32
verwachten,to expect,Lesson 32
